model,layer,lens_acc,probe_acc,final_acc,chance,n
qwen2.5-7b-base,3,0.249000,0.265500,0.708000,0.250000,2000
qwen2.5-7b-base,6,0.249500,0.271500,0.708000,0.250000,2000
qwen2.5-7b-base,8,0.223500,0.306000,0.708000,0.250000,2000
qwen2.5-7b-base,11,0.223500,0.278500,0.708000,0.250000,2000
qwen2.5-7b-base,14,0.221000,0.300000,0.708000,0.250000,2000
qwen2.5-7b-base,17,0.221500,0.465000,0.708000,0.250000,2000
qwen2.5-7b-base,20,0.291500,0.643500,0.708000,0.250000,2000
qwen2.5-7b-base,22,0.364000,0.644000,0.708000,0.250000,2000
qwen2.5-7b-base,25,0.704000,0.653000,0.708000,0.250000,2000
qwen2.5-7b-base,28,0.708000,0.647500,0.708000,0.250000,2000
qwen2.5-7b-instruct,3,0.243000,0.260500,0.723500,0.250000,2000
qwen2.5-7b-instruct,6,0.219000,0.272500,0.723500,0.250000,2000
qwen2.5-7b-instruct,8,0.223500,0.286500,0.723500,0.250000,2000
qwen2.5-7b-instruct,11,0.220000,0.291000,0.723500,0.250000,2000
qwen2.5-7b-instruct,14,0.221000,0.286000,0.723500,0.250000,2000
qwen2.5-7b-instruct,17,0.222500,0.413000,0.723500,0.250000,2000
qwen2.5-7b-instruct,20,0.341000,0.646500,0.723500,0.250000,2000
qwen2.5-7b-instruct,22,0.446500,0.648500,0.723500,0.250000,2000
qwen2.5-7b-instruct,25,0.718000,0.654500,0.723500,0.250000,2000
qwen2.5-7b-instruct,28,0.723500,0.656500,0.723500,0.250000,2000
llama-3.1-8b-base,3,0.253500,0.277000,0.640500,0.250000,2000
llama-3.1-8b-base,6,0.217500,0.280000,0.640500,0.250000,2000
llama-3.1-8b-base,10,0.259000,0.278000,0.640500,0.250000,2000
llama-3.1-8b-base,13,0.246000,0.327500,0.640500,0.250000,2000
llama-3.1-8b-base,16,0.259500,0.508500,0.640500,0.250000,2000
llama-3.1-8b-base,19,0.605500,0.568500,0.640500,0.250000,2000
llama-3.1-8b-base,22,0.603000,0.574500,0.640500,0.250000,2000
llama-3.1-8b-base,26,0.610000,0.581000,0.640500,0.250000,2000
llama-3.1-8b-base,29,0.618000,0.599000,0.640500,0.250000,2000
llama-3.1-8b-base,32,0.640500,0.575500,0.640500,0.250000,2000
llama-3.1-8b-instruct,3,0.251500,0.272000,0.666000,0.250000,2000
llama-3.1-8b-instruct,6,0.221500,0.269000,0.666000,0.250000,2000
llama-3.1-8b-instruct,10,0.273000,0.282500,0.666000,0.250000,2000
llama-3.1-8b-instruct,13,0.242000,0.361000,0.666000,0.250000,2000
llama-3.1-8b-instruct,16,0.250000,0.516500,0.666000,0.250000,2000
llama-3.1-8b-instruct,19,0.647500,0.604500,0.666000,0.250000,2000
llama-3.1-8b-instruct,22,0.597000,0.607500,0.666000,0.250000,2000
llama-3.1-8b-instruct,26,0.635500,0.617000,0.666000,0.250000,2000
llama-3.1-8b-instruct,29,0.650000,0.618500,0.666000,0.250000,2000
llama-3.1-8b-instruct,32,0.666000,0.604000,0.666000,0.250000,2000
