model,layer,lens_acc,probe_acc,final_acc,chance,n
qwen2.5-7b-base,3,0.249000,0.265500,0.708000,0.250000,2000
qwen2.5-7b-base,6,0.249500,0.271500,0.708000,0.250000,2000
qwen2.5-7b-base,8,0.223500,0.306000,0.708000,0.250000,2000
qwen2.5-7b-base,11,0.223500,0.278500,0.708000,0.250000,2000
qwen2.5-7b-base,14,0.221000,0.300000,0.708000,0.250000,2000
qwen2.5-7b-base,17,0.221500,0.465000,0.708000,0.250000,2000
qwen2.5-7b-base,20,0.291500,0.643500,0.708000,0.250000,2000
qwen2.5-7b-base,22,0.364000,0.644000,0.708000,0.250000,2000
qwen2.5-7b-base,25,0.704000,0.653000,0.708000,0.250000,2000
qwen2.5-7b-base,28,0.708000,0.647500,0.708000,0.250000,2000
