model,layer,lens_acc,probe_acc,final_acc,chance,n
qwen2.5-7b-base,3,0.249000,0.265500,0.708000,0.250000,2000
qwen2.5-7b-base,6,0.249500,0.271500,0.708000,0.250000,2000
qwen2.5-7b-base,8,0.223500,0.306000,0.708000,0.250000,2000
qwen2.5-7b-base,11,0.223500,0.278500,0.708000,0.250000,2000
qwen2.5-7b-base,14,0.221000,0.300000,0.708000,0.250000,2000
qwen2.5-7b-base,17,0.221500,0.465000,0.708000,0.250000,2000
qwen2.5-7b-base,20,0.291500,0.643500,0.708000,0.250000,2000
qwen2.5-7b-base,22,0.364000,0.644000,0.708000,0.250000,2000
qwen2.5-7b-base,25,0.704000,0.653000,0.708000,0.250000,2000
qwen2.5-7b-base,28,0.708000,0.647500,0.708000,0.250000,2000
qwen2.5-7b-instruct,3,0.243000,0.260500,0.723500,0.250000,2000
qwen2.5-7b-instruct,6,0.219000,0.272500,0.723500,0.250000,2000
qwen2.5-7b-instruct,8,0.223500,0.286500,0.723500,0.250000,2000
qwen2.5-7b-instruct,11,0.220000,0.291000,0.723500,0.250000,2000
qwen2.5-7b-instruct,14,0.221000,0.286000,0.723500,0.250000,2000
qwen2.5-7b-instruct,17,0.222500,0.413000,0.723500,0.250000,2000
qwen2.5-7b-instruct,20,0.341000,0.646500,0.723500,0.250000,2000
qwen2.5-7b-instruct,22,0.446500,0.648500,0.723500,0.250000,2000
qwen2.5-7b-instruct,25,0.718000,0.654500,0.723500,0.250000,2000
qwen2.5-7b-instruct,28,0.723500,0.656500,0.723500,0.250000,2000
